date,home,away
27/09/2025,Sale Sharks,Gloucester
27/09/2025,Harlequins,Bath
27/09/2025,Newcastle Falcons,Saracens
27/09/2025,Northampton Saints,Exeter Chiefs
27/09/2025,Bristol,Leicester Tigers
04/10/2025,Bath,Sale Sharks
04/10/2025,Exeter Chiefs,Newcastle Falcons
04/10/2025,Leicester Tigers,Harlequins
04/10/2025,Saracens,Bristol
04/10/2025,Gloucester,Northampton Saints
11/10/2025,Sale Sharks,Newcastle Falcons
11/10/2025,Bristol,Exeter Chiefs
11/10/2025,Northampton Saints,Leicester Tigers
11/10/2025,Bath,Gloucester
11/10/2025,Harlequins,Saracens
18/10/2025,Gloucester,Bristol
18/10/2025,Newcastle Falcons,Northampton Saints
18/10/2025,Leicester Tigers,Bath
18/10/2025,Saracens,Sale Sharks
18/10/2025,Exeter Chiefs,Harlequins
25/10/2025,Northampton Saints,Saracens
25/10/2025,Exeter Chiefs,Gloucester
25/10/2025,Harlequins,Newcastle Falcons
25/10/2025,Bath,Bristol
25/10/2025,Leicester Tigers,Sale Sharks
29/11/2025,Newcastle Falcons,Leicester Tigers
29/11/2025,Sale Sharks,Exeter Chiefs
29/11/2025,Gloucester,Harlequins
29/11/2025,Bristol,Northampton Saints
29/11/2025,Saracens,Bath
20/12/2025,Leicester Tigers,Gloucester
20/12/2025,Northampton Saints,Sale Sharks
20/12/2025,Saracens,Exeter Chiefs
20/12/2025,Harlequins,Bristol
20/12/2025,Newcastle Falcons,Bath
27/12/2025,Sale Sharks,Harlequins
27/12/2025,Bristol,Newcastle Falcons
27/12/2025,Gloucester,Saracens
27/12/2025,Bath,Northampton Saints
27/12/2025,Exeter Chiefs,Leicester Tigers
03/01/2026,Bristol,Sale Sharks
03/01/2026,Newcastle Falcons,Gloucester
03/01/2026,Bath,Exeter Chiefs
03/01/2026,Northampton Saints,Harlequins
03/01/2026,Leicester Tigers,Saracens
24/01/2026,Exeter Chiefs,Bristol
24/01/2026,Gloucester,Bath
24/01/2026,Harlequins,Leicester Tigers
24/01/2026,Sale Sharks,Northampton Saints
24/01/2026,Saracens,Newcastle Falcons
21/03/2026,Bath,Saracens
21/03/2026,Exeter Chiefs,Sale Sharks
21/03/2026,Harlequins,Gloucester
21/03/2026,Leicester Tigers,Bristol
21/03/2026,Northampton Saints,Newcastle Falcons
28/03/2026,Gloucester,Leicester Tigers
28/03/2026,Bristol,Harlequins
28/03/2026,Newcastle Falcons,Exeter Chiefs
28/03/2026,Sale Sharks,Bath
28/03/2026,Saracens,Northampton Saints
18/04/2026,Bath,Harlequins
18/04/2026,Bristol,Gloucester
18/04/2026,Exeter Chiefs,Northampton Saints
18/04/2026,Leicester Tigers,Newcastle Falcons
18/04/2026,Sale Sharks,Saracens
25/04/2026,Gloucester,Exeter Chiefs
25/04/2026,Harlequins,Sale Sharks
25/04/2026,Newcastle Falcons,Bristol
25/04/2026,Northampton Saints,Bath
25/04/2026,Saracens,Leicester Tigers
09/05/2026,Bristol,Saracens
09/05/2026,Exeter Chiefs,Bath
09/05/2026,Gloucester,Sale Sharks
09/05/2026,Leicester Tigers,Northampton Saints
09/05/2026,Newcastle Falcons,Harlequins
16/05/2026,Bath,Newcastle Falcons
16/05/2026,Harlequins,Exeter Chiefs
16/05/2026,Northampton Saints,Bristol
16/05/2026,Sale Sharks,Leicester Tigers
16/05/2026,Saracens,Gloucester
30/05/2026,Bristol,Bath
30/05/2026,Leicester Tigers,Exeter Chiefs
30/05/2026,Newcastle Falcons,Sale Sharks
30/05/2026,Northampton Saints,Gloucester
30/05/2026,Saracens,Harlequins
06/06/2026,Bath,Leicester Tigers
06/06/2026,Exeter Chiefs,Saracens
06/06/2026,Gloucester,Newcastle Falcons
06/06/2026,Harlequins,Northampton Saints
06/06/2026,Sale Sharks,Bristol
,,
,,
,,
,,
