"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2009-02-20,"Sale Sharks","Bristol",32,13,"Home",NA,NA,0,1
2009-02-20,"Newcastle Falcons","Saracens",13,9,"Home",NA,NA,0,1
2009-02-21,"Bath","London Irish",20,20,"Draw",NA,NA,0,1
2009-02-21,"Harlequins","Gloucester",14,9,"Home",NA,NA,0,1
2009-02-21,"Leicester Tigers","Worcester Warriors",38,5,"Home",NA,NA,0,1
2009-02-22,"Wasps","Northampton Saints",9,5,"Home",NA,NA,0,1
2009-02-28,"Worcester Warriors","Wasps",13,12,"Home",NA,NA,0,1
2009-02-28,"Northampton Saints","Newcastle Falcons",13,19,"Away",NA,NA,0,1
2009-02-28,"Gloucester","Bath",36,27,"Home",NA,NA,0,1
2009-03-01,"London Irish","Leicester Tigers",28,31,"Away",NA,NA,0,1
2009-03-01,"Saracens","Sale Sharks",24,23,"Home",NA,NA,0,1
2009-03-01,"Bristol","Harlequins",14,17,"Away",NA,NA,0,1
2009-03-07,"Bath","Bristol",45,8,"Home",NA,NA,0,1
2009-03-07,"Leicester Tigers","Gloucester",24,10,"Home",NA,NA,0,1
2009-03-07,"Worcester Warriors","Northampton Saints",12,22,"Away",NA,NA,0,1
2009-03-07,"Harlequins","Saracens",21,15,"Home",NA,NA,0,1
2009-03-08,"Sale Sharks","Newcastle Falcons",25,32,"Away",NA,NA,0,1
2009-03-08,"Wasps","London Irish",21,16,"Home",NA,NA,0,1
2009-03-13,"Bristol","Leicester Tigers",17,23,"Away",NA,NA,0,1
2009-03-14,"Northampton Saints","Sale Sharks",38,3,"Home",NA,NA,0,1
2009-03-14,"Gloucester","Wasps",24,22,"Home",NA,NA,0,1
2009-03-15,"Saracens","Bath",20,16,"Home",NA,NA,0,1
2009-03-15,"Newcastle Falcons","Harlequins",24,16,"Home",NA,NA,0,1
2009-03-15,"London Irish","Worcester Warriors",38,17,"Home",NA,NA,0,1
2009-03-21,"Bath","Newcastle Falcons",36,25,"Home",NA,NA,0,1
2009-03-21,"Leicester Tigers","Saracens",46,16,"Home",NA,NA,0,1
2009-03-22,"London Irish","Northampton Saints",32,27,"Home",NA,NA,0,1
2009-03-22,"Worcester Warriors","Gloucester",14,10,"Home",NA,NA,0,1
2009-03-22,"Wasps","Bristol",21,19,"Home",NA,NA,0,1
2009-03-22,"Harlequins","Sale Sharks",38,20,"Home",NA,NA,0,1
2009-03-27,"Sale Sharks","Bath",23,16,"Home",NA,NA,0,1
2009-03-27,"Newcastle Falcons","Leicester Tigers",14,10,"Home",NA,NA,0,1
2009-03-29,"Bristol","Worcester Warriors",37,18,"Home",NA,NA,0,1
2009-03-29,"Saracens","Wasps",19,14,"Home",NA,NA,0,1
2009-04-04,"Bath","Harlequins",3,19,"Away",NA,NA,0,1
2009-04-04,"Worcester Warriors","Saracens",22,8,"Home",NA,NA,0,1
2009-04-04,"Northampton Saints","Gloucester",40,22,"Home",NA,NA,0,1
2009-04-04,"London Irish","Bristol",38,21,"Home",NA,NA,0,1
