date,home,away
21/09/2024,Bath,Northampton Saints
21/09/2024,Newcastle Falcons,Bristol
21/09/2024,Exeter Chiefs,Leicester Tigers
21/09/2024,Gloucester,Saracens
21/09/2024,Sale Sharks,Harlequins
28/09/2024,Bristol,Gloucester
28/09/2024,Harlequins,Newcastle Falcons
28/09/2024,Saracens,Sale Sharks
28/09/2024,Northampton Saints,Exeter Chiefs
28/09/2024,Leicester Tigers,Bath
05/10/2024,Northampton Saints,Harlequins
05/10/2024,Sale Sharks,Gloucester
05/10/2024,Bath,Bristol
05/10/2024,Newcastle Falcons,Leicester Tigers
05/10/2024,Saracens,Exeter Chiefs
12/10/2024,Sale Sharks,Newcastle Falcons
12/10/2024,Exeter Chiefs,Bristol
12/10/2024,Gloucester,Bath
12/10/2024,Leicester Tigers,Northampton Saints
12/10/2024,Harlequins,Saracens
19/10/2024,Newcastle Falcons,Exeter Chiefs
19/10/2024,Northampton Saints,Sale Sharks
19/10/2024,Bristol,Saracens
19/10/2024,Harlequins,Bath
19/10/2024,Leicester Tigers,Gloucester
26/10/2024,Bristol,Northampton Saints
26/10/2024,Gloucester,Newcastle Falcons
26/10/2024,Bath,Sale Sharks
26/10/2024,Saracens,Leicester Tigers
26/10/2024,Exeter Chiefs,Harlequins
30/11/2024,Harlequins,Bristol
30/11/2024,Newcastle Falcons,Saracens
30/11/2024,Northampton Saints,Gloucester
30/11/2024,Bath,Exeter Chiefs
30/11/2024,Sale Sharks,Leicester Tigers
21/12/2024,Gloucester,Harlequins
21/12/2024,Leicester Tigers,Bristol
21/12/2024,Newcastle Falcons,Bath
21/12/2024,Sale Sharks,Exeter Chiefs
21/12/2024,Saracens,Northampton Saints
28/12/2024,Bristol,Sale Sharks
28/12/2024,Bath,Saracens
28/12/2024,Northampton Saints,Newcastle Falcons
28/12/2024,Harlequins,Leicester Tigers
28/12/2024,Exeter Chiefs,Gloucester
04/01/2025,Newcastle Falcons,Harlequins
04/01/2025,Gloucester,Sale Sharks
04/01/2025,Leicester Tigers,Exeter Chiefs
04/01/2025,Saracens,Bristol
04/01/2025,Northampton Saints,Bath
25/01/2025,Bristol,Newcastle Falcons
25/01/2025,Exeter Chiefs,Saracens
25/01/2025,Gloucester,Leicester Tigers
25/01/2025,Harlequins,Northampton Saints
25/01/2025,Sale Sharks,Bath
22/03/2025,Bath,Gloucester
22/03/2025,Bristol,Exeter Chiefs
22/03/2025,Newcastle Falcons,Sale Sharks
22/03/2025,Northampton Saints,Leicester Tigers
22/03/2025,Saracens,Harlequins
29/03/2025,Bath,Harlequins
29/03/2025,Exeter Chiefs,Newcastle Falcons
29/03/2025,Gloucester,Bristol
29/03/2025,Leicester Tigers,Saracens
29/03/2025,Sale Sharks,Northampton Saints
19/04/2025,Bristol,Leicester Tigers
19/04/2025,Exeter Chiefs,Bath
19/04/2025,Harlequins,Sale Sharks
19/04/2025,Newcastle Falcons,Northampton Saints
19/04/2025,Saracens,Gloucester
26/04/2025,Bath,Newcastle Falcons
26/04/2025,Gloucester,Exeter Chiefs
26/04/2025,Leicester Tigers,Harlequins
26/04/2025,Northampton Saints,Bristol
26/04/2025,Sale Sharks,Saracens
10/05/2025,Bristol,Bath
10/05/2025,Exeter Chiefs,Northampton Saints
10/05/2025,Harlequins,Gloucester
10/05/2025,Leicester Tigers,Sale Sharks
10/05/2025,Saracens,Newcastle Falcons
17/05/2025,Bath,Leicester Tigers
17/05/2025,Harlequins,Exeter Chiefs
17/05/2025,Newcastle Falcons,Gloucester
17/05/2025,Northampton Saints,Saracens
17/05/2025,Sale Sharks,Bristol
31/05/2025,Bristol,Harlequins
31/05/2025,Exeter Chiefs,Sale Sharks
31/05/2025,Gloucester,Northampton Saints
31/05/2025,Leicester Tigers,Newcastle Falcons
31/05/2025,Saracens,Bath
07/06/2025,SF1,SF1
07/06/2025,SF2,SF2
14/06/2025,Final,Final
,,
