date,home,away
03/12/2022,London Irish,Newcastle Falcons
03/12/2022,Wasps,Sale Sharks
03/12/2022,Worcester Warriors,Saracens
24/12/2022,Exeter Chiefs,Bath
24/12/2022,Harlequins,Bristol
24/12/2022,Leicester Tigers,Gloucester
24/12/2022,London Irish,Saracens
24/12/2022,Newcastle Falcons,Sale Sharks
24/12/2022,Wasps,Worcester Warriors
31/12/2022,Bath,Newcastle Falcons
31/12/2022,Bristol,Wasps
31/12/2022,Northampton Saints,Harlequins
31/12/2022,Sale Sharks,Leicester Tigers
31/12/2022,Saracens,Exeter Chiefs
31/12/2022,Worcester Warriors,London Irish
07/01/2023,Exeter Chiefs,Worcester Warriors
07/01/2023,Gloucester,Bath
07/01/2023,Harlequins,Wasps
07/01/2023,Leicester Tigers,Northampton Saints
07/01/2023,London Irish,Bristol
07/01/2023,Saracens,Newcastle Falcons
28/01/2023,Bath,Saracens
28/01/2023,Exeter Chiefs,Gloucester
28/01/2023,Harlequins,Sale Sharks
28/01/2023,Newcastle Falcons,Northampton Saints
28/01/2023,Wasps,London Irish
28/01/2023,Worcester Warriors,Leicester Tigers
04/02/2023,Bristol,Newcastle Falcons
04/02/2023,Gloucester,London Irish
04/02/2023,Leicester Tigers,Harlequins
04/02/2023,Northampton Saints,Bath
04/02/2023,Sale Sharks,Worcester Warriors
04/02/2023,Wasps,Exeter Chiefs
11/02/2023,Bath,Exeter Chiefs
11/02/2023,London Irish,Sale Sharks
11/02/2023,Newcastle Falcons,Leicester Tigers
11/02/2023,Northampton Saints,Gloucester
11/02/2023,Saracens,Bristol
11/02/2023,Worcester Warriors,Wasps
18/02/2023,Exeter Chiefs,Sale Sharks
18/02/2023,Gloucester,Saracens
18/02/2023,Harlequins,Newcastle Falcons
18/02/2023,Leicester Tigers,Bristol
18/02/2023,Wasps,Bath
18/02/2023,Worcester Warriors,Northampton Saints
04/03/2023,Bath,London Irish
04/03/2023,Bristol,Northampton Saints
04/03/2023,Harlequins,Worcester Warriors
04/03/2023,Leicester Tigers,Exeter Chiefs
04/03/2023,Newcastle Falcons,Gloucester
04/03/2023,Sale Sharks,Saracens
11/03/2023,Exeter Chiefs,Bristol
11/03/2023,Gloucester,Harlequins
11/03/2023,London Irish,Leicester Tigers
11/03/2023,Northampton Saints,Wasps
11/03/2023,Sale Sharks,Bath
11/03/2023,Saracens,Worcester Warriors
18/03/2023,Bristol,Sale Sharks
18/03/2023,Harlequins,Exeter Chiefs
18/03/2023,Leicester Tigers,Bath
18/03/2023,Newcastle Falcons,London Irish
18/03/2023,Wasps,Saracens
18/03/2023,Worcester Warriors,Gloucester
25/03/2023,Bath,Bristol
25/03/2023,Exeter Chiefs,Newcastle Falcons
25/03/2023,Gloucester,Leicester Tigers
25/03/2023,London Irish,Northampton Saints
25/03/2023,Sale Sharks,Wasps
25/03/2023,Saracens,Harlequins
15/04/2023,Bristol,Harlequins
15/04/2023,Leicester Tigers,Saracens
15/04/2023,London Irish,Exeter Chiefs
15/04/2023,Newcastle Falcons,Worcester Warriors
15/04/2023,Northampton Saints,Sale Sharks
15/04/2023,Wasps,Gloucester
22/04/2023,Exeter Chiefs,Northampton Saints
22/04/2023,Gloucester,Sale Sharks
22/04/2023,Harlequins,Bath
22/04/2023,Newcastle Falcons,Wasps
22/04/2023,Saracens,London Irish
22/04/2023,Worcester Warriors,Bristol
05/05/2023,Bath,Worcester Warriors
05/05/2023,Bristol,Gloucester
05/05/2023,London Irish,Harlequins
05/05/2023,Northampton Saints,Saracens
05/05/2023,Sale Sharks,Newcastle Falcons
05/05/2023,Wasps,Leicester Tigers
13/05/2023,,
13/05/2023,,
27/05/2023,,
27/05/2023,,
