date,home,away
10/09/2022,Bristol,Bath
10/09/2022,Sale Sharks,Northampton Saints
10/09/2022,Exeter Chiefs,Leicester Tigers
10/09/2022,London Irish,Worcester Warriors
10/09/2022,Newcastle Falcons,Harlequins
10/09/2022,Gloucester,Wasps
17/09/2022,Northampton Saints,London Irish
17/09/2022,Bath,Sale Sharks
17/09/2022,Harlequins,Saracens
17/09/2022,Leicester Tigers,Newcastle Falcons
17/09/2022,Wasps,Bristol
17/09/2022,Worcester Warriors,Exeter Chiefs
24/09/2022,Bath,Wasps
24/09/2022,Bristol,London Irish
24/09/2022,Northampton Saints,Leicester Tigers
24/09/2022,Saracens,Gloucester
24/09/2022,Worcester Warriors,Newcastle Falcons
24/09/2022,Exeter Chiefs,Harlequins
01/10/2022,Newcastle Falcons,Bristol
01/10/2022,Gloucester,Worcester Warriors
01/10/2022,London Irish,Bath
01/10/2022,Sale Sharks,Exeter Chiefs
01/10/2022,Saracens,Leicester Tigers
01/10/2022,Harlequins,Northampton Saints
08/10/2022,Bristol,Exeter Chiefs
08/10/2022,Bath,Gloucester
08/10/2022,Leicester Tigers,Sale Sharks
08/10/2022,Worcester Warriors,Harlequins
08/10/2022,Newcastle Falcons,Saracens
08/10/2022,Wasps,Northampton Saints
15/10/2022,Sale Sharks,London Irish
15/10/2022,Exeter Chiefs,Wasps
15/10/2022,Gloucester,Bristol
15/10/2022,Northampton Saints,Newcastle Falcons
15/10/2022,Saracens,Bath
15/10/2022,Harlequins,Leicester Tigers
22/10/2022,London Irish,Gloucester
22/10/2022,Bath,Northampton Saints
22/10/2022,Bristol,Worcester Warriors
22/10/2022,Exeter Chiefs,Saracens
22/10/2022,Leicester Tigers,Wasps
22/10/2022,Sale Sharks,Harlequins
29/10/2022,Gloucester,Exeter Chiefs
29/10/2022,Harlequins,London Irish
29/10/2022,Northampton Saints,Bristol
29/10/2022,Worcester Warriors,Bath
29/10/2022,Saracens,Sale Sharks
29/10/2022,Wasps,Newcastle Falcons
05/11/2022,Northampton Saints,Exeter Chiefs
05/11/2022,Sale Sharks,Gloucester
05/11/2022,Leicester Tigers,Worcester Warriors
05/11/2022,London Irish,Wasps
05/11/2022,Newcastle Falcons,Bath
05/11/2022,Bristol,Saracens
12/11/2022,Bath,Leicester Tigers
12/11/2022,Gloucester,Newcastle Falcons
12/11/2022,Worcester Warriors,Sale Sharks
12/11/2022,Exeter Chiefs,London Irish
12/11/2022,Saracens,Northampton Saints
12/11/2022,Wasps,Harlequins
26/11/2022,Harlequins,Gloucester
26/11/2022,Leicester Tigers,London Irish
26/11/2022,Newcastle Falcons,Exeter Chiefs
26/11/2022,Northampton Saints,Worcester Warriors
26/11/2022,Sale Sharks,Bristol
26/11/2022,Saracens,Wasps
03/12/2022,Bath,Harlequins
03/12/2022,Bristol,Leicester Tigers
03/12/2022,Gloucester,Northampton Saints
